Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,ladderRatio,elevator,subway,floor_new,constructionTime_new,buildingType_1.0,buildingType_2.0,buildingType_3.0,buildingType_4.0,buildingStructure_1,buildingStructure_2,buildingStructure_3,buildingStructure_4,buildingStructure_5,buildingStructure_6,totalPrice,predict_price,error
116.476467,39.888742,39.78,1,1,1,1,0.25,1,1,18,1994,1,0,0,0,0,0,0,0,0,1,168.0,242,-44
116.52008,39.870881,84.35,3,1,1,1,0.5,0,0,5,1998,0,0,0,1,0,1,0,0,0,0,248.3,344,-38
116.242945,40.215684,90.79,2,2,1,1,0.667,1,0,28,2010,0,0,1,0,0,0,0,0,0,1,295.0,335,-13
116.295873,39.867642,96.53,2,2,1,1,0.25,1,1,17,2004,0,0,1,0,0,0,0,0,0,1,440.0,476,-8
116.568799,39.853078,93.78,2,2,1,1,0.667,1,0,18,2008,0,0,0,1,0,0,0,0,0,1,285.0,388,-36
116.433451,39.923705,69.59,2,1,1,1,0.667,1,1,11,2004,0,0,1,0,0,1,0,0,0,0,718.0,719,0
116.404494,39.858621,60.1,2,1,1,1,0.5,0,1,6,1992,0,0,0,1,0,1,0,0,0,0,214.0,251,-17
116.552177,39.970849,141.87,3,2,1,2,0.5,0,0,6,2003,0,0,0,1,0,0,0,0,0,1,733.0,863,-17
116.63734,39.88191,86.9,3,1,1,1,0.222,1,0,22,2008,0,0,1,0,0,0,0,0,0,1,300.0,312,-4
116.332651,40.07203300000001,67.0,1,1,1,1,0.25,1,0,12,2004,0,0,1,0,0,1,0,0,0,0,406.9,339,16
116.558981,39.926508,98.04,2,1,1,1,0.28600000000000003,1,0,18,2000,1,0,0,0,0,0,0,0,0,1,439.8,307,30
116.420308,39.988613,144.0,2,1,1,2,0.5,1,1,15,2006,1,0,0,0,0,0,0,0,0,1,816.0,880,-7
116.473376,39.875385,88.9,2,1,1,1,0.16699999999999998,1,1,22,1998,1,0,0,0,0,0,0,0,0,1,459.0,403,12
116.425856,39.90406,61.98,1,0,1,1,0.276,1,1,16,2013,1,0,0,0,0,0,0,0,0,1,620.0,503,18
116.333514,39.797388,77.18,2,1,1,1,0.25,1,1,15,2009,0,0,1,0,0,0,0,0,0,1,425.0,429,-1
116.581295,39.910614,140.86,3,2,1,2,0.5,0,1,6,2002,0,0,0,1,0,0,0,0,0,1,375.0,599,-59
116.306396,39.922465,78.28,2,1,1,1,0.3,1,0,20,2002,0,0,1,0,0,0,0,0,0,1,580.0,678,-16
116.457526,39.8764,79.18,2,1,1,1,0.214,1,1,28,2009,1,0,0,0,0,0,0,0,0,1,217.0,327,-50
116.285133,39.888468,180.66,3,2,1,3,1.0,1,0,30,2012,0,0,0,1,0,0,0,0,0,1,920.0,1165,-26
116.399108,39.876842,61.03,1,2,1,1,0.333,1,1,22,2010,0,0,1,0,0,0,0,0,0,1,420.0,459,-9
116.37921,40.01336,42.55,1,0,1,1,0.16699999999999998,1,1,18,2005,0,0,1,0,0,0,0,0,0,1,382.0,284,25
116.467182,40.014312,103.68,2,2,1,2,0.5,0,1,5,2002,0,0,0,1,0,0,0,0,0,1,560.0,568,-1
116.427682,40.050832,106.53,2,1,1,2,0.3,1,1,25,2004,1,0,0,0,0,0,0,0,0,1,511.0,500,2
116.658104,39.8932,43.32,1,0,1,1,0.333,0,1,6,2005,0,0,1,0,0,1,0,0,0,0,200.0,229,-14
116.557573,39.954333,56.05,2,1,1,1,0.333,0,0,5,1986,0,0,0,1,0,1,0,0,0,0,200.0,243,-21
116.508281,39.915816,74.0,1,1,1,1,0.118,1,1,9,2006,0,0,1,0,0,0,0,0,0,1,488.0,396,18
116.188426,39.935915,68.84,2,1,1,1,0.5,0,1,6,1999,0,0,0,1,0,1,0,0,0,0,229.0,245,-7
116.651425,39.843737,57.4,1,1,1,1,0.333,0,0,12,2014,0,0,0,1,0,0,0,0,0,1,265.0,246,6
116.560168,40.110054,172.0,3,1,1,2,0.5,0,0,3,1998,0,0,0,1,0,1,0,0,0,0,600.0,726,-21
116.508983,39.871912,120.0,3,2,1,1,0.333,1,1,19,2006,0,0,0,1,0,0,0,0,0,1,760.0,619,18
116.694868,39.877962,93.0,3,1,1,1,0.333,1,1,26,2012,0,0,0,1,0,0,0,0,0,1,380.0,305,19
116.293444,40.037849,62.1,2,1,1,1,0.5,0,0,6,1995,0,0,0,1,0,1,0,0,0,0,419.0,415,0
116.48114,39.916389,192.71,3,1,1,2,1.0,1,1,24,2004,0,0,1,0,0,0,0,0,0,1,1500.0,1406,6
116.391726,39.978788,51.99,1,1,1,1,0.25,1,1,20,1991,1,0,0,0,0,0,0,0,0,1,690.0,514,25
116.60503500000002,40.051164,55.98,1,1,1,1,0.333,0,0,6,1998,0,0,0,1,0,1,0,0,0,0,210.0,180,14
116.453797,39.961753,46.02,1,1,1,1,0.071,0,1,6,1996,0,0,0,1,0,0,0,1,0,0,253.5,270,-6
116.431552,40.082903,111.6,2,2,1,2,0.5,0,0,5,2005,0,0,0,1,0,1,0,0,0,0,505.0,380,24
116.16293799999998,39.939005,57.87,2,1,1,1,0.5,0,0,6,1987,0,0,0,1,0,0,0,0,0,1,258.0,221,14
116.419162,40.031546,211.53,4,2,1,3,1.0,1,0,32,2007,1,0,0,0,0,0,0,0,0,1,1080.0,1151,-6
116.493878,40.000306,121.9,2,2,1,2,0.5,1,0,14,2005,0,0,0,1,0,0,0,0,0,1,830.0,876,-5
116.435657,39.875802,104.36,2,2,1,2,0.25,1,1,22,2000,1,0,0,0,0,0,0,0,0,1,505.0,487,3
116.67755,39.890698,87.15,2,1,1,1,0.5,0,1,6,1999,0,0,0,1,0,1,0,0,0,0,268.0,315,-17
116.419086,39.945744,70.0,2,1,1,1,0.5,0,1,6,2002,0,0,0,1,0,0,0,0,0,1,730.0,772,-5
116.386555,40.0865,79.15,2,1,1,1,0.333,0,0,6,2009,0,0,0,1,0,0,0,0,0,1,280.0,343,-22
116.429654,40.043021,62.36,1,1,1,1,0.5,1,0,14,2014,0,0,0,1,0,0,0,0,0,1,372.5,308,17
116.364039,39.848137,99.37,3,1,1,1,0.333,1,1,12,1999,0,0,0,1,0,0,0,0,0,1,459.0,484,-5
116.402185,39.961265,79.95,3,1,1,1,0.111,1,1,11,1992,0,0,1,0,0,0,0,0,0,1,738.0,767,-3
116.287719,39.931907,58.85,2,1,1,1,0.5,0,1,6,1996,0,0,0,1,0,1,0,0,0,0,325.0,408,-25
116.343245,39.900529,38.38,1,0,1,1,0.111,1,1,26,2006,1,0,0,0,0,0,0,0,0,1,337.0,278,17
116.521988,39.927428000000006,58.36,1,1,1,1,0.16699999999999998,1,1,20,2006,1,0,0,0,0,0,0,0,0,1,332.0,343,-3
116.41449,39.87980200000001,49.35,2,0,1,1,0.333,0,0,6,1970,0,0,0,1,0,1,0,0,0,0,377.0,366,2
116.404412,39.952825,43.67,2,1,1,1,0.333,0,1,5,1988,0,0,0,1,0,0,0,1,0,0,488.0,484,0
116.265959,40.214499,94.67,3,1,1,1,0.5,1,0,21,2012,0,0,1,0,0,0,0,0,0,1,268.0,357,-33
116.439746,39.905443,48.72,1,1,1,1,0.033,0,1,6,1994,1,0,0,0,0,1,0,0,0,0,332.0,414,-24
116.224768,39.904248,106.21,3,2,1,2,0.5,0,0,6,1993,0,0,0,1,0,1,0,0,0,0,233.0,497,-113
116.431165,39.874515,86.74,3,1,1,1,0.28600000000000003,1,1,18,1992,0,0,1,0,0,0,0,0,0,1,392.0,461,-17
116.46615,39.963231,63.42,1,1,1,1,0.188,1,1,21,2005,1,0,0,0,0,0,0,0,0,1,503.0,402,20
116.365657,39.90805200000001,37.8,1,1,1,1,0.28600000000000003,1,1,16,1989,1,0,0,0,0,0,0,0,0,1,560.0,408,27
116.443381,39.926366,58.0,1,0,1,1,0.16,1,1,24,2008,0,0,1,0,0,0,0,0,0,1,285.0,265,6
116.493317,39.929564,61.74,2,1,1,1,0.25,1,1,18,1996,1,0,0,0,0,0,0,0,0,1,297.0,338,-13
116.442298,39.970551,49.64,1,1,1,1,0.25,1,1,18,1987,1,0,0,0,0,0,0,0,0,1,264.5,335,-26
116.512916,39.864254,54.83,1,1,1,1,0.5,1,1,13,2007,0,0,0,1,0,0,0,0,0,1,155.0,181,-16
116.47251599999998,39.882104,77.0,2,1,1,1,0.5,0,1,7,1997,0,0,0,1,0,1,0,0,0,0,445.0,386,13
116.421876,40.008585,76.59,2,1,1,1,0.2,1,1,26,1998,1,0,0,0,0,0,0,0,0,1,450.0,500,-11
116.477171,39.994969,56.43,2,1,1,1,0.333,0,1,6,1983,0,0,0,1,0,0,0,1,0,0,350.0,358,-2
116.360877,39.902029,49.36,1,1,1,1,0.031,0,1,6,1992,0,0,0,1,0,1,0,0,0,0,355.0,468,-31
116.435611,39.948432,71.48,2,1,1,1,1.3330000000000002,1,1,11,2002,0,0,1,0,0,0,0,0,0,1,620.0,668,-7
116.354215,40.083501,134.55,3,2,1,2,0.5,0,0,5,2003,0,0,0,1,0,1,0,0,0,0,436.0,439,0
116.505445,39.939085,62.97,2,1,1,1,0.333,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,240.0,302,-26
116.314911,39.980711,56.7,2,1,1,1,0.5,0,1,6,1986,0,0,0,1,0,1,0,0,0,0,623.0,507,18
116.484508,39.93403,67.46,2,1,1,2,0.25,1,1,18,1992,1,0,0,0,0,0,0,0,0,1,445.0,430,3
116.444565,39.853072,90.23,2,1,1,1,0.5,0,1,6,2003,0,0,0,1,0,0,0,0,0,1,510.0,512,0
116.450277,39.950513,173.66,4,2,1,2,0.2,1,1,10,2000,0,0,1,0,0,0,0,0,0,1,1480.0,1023,30
116.609957,39.91983,100.13,2,1,1,1,0.4,1,1,28,2004,0,0,1,0,0,0,0,0,0,1,510.0,487,4
116.217497,39.77447700000001,108.9,3,1,1,1,0.5,1,1,11,2013,0,0,0,1,0,0,0,0,0,1,479.0,476,0
116.34663,40.096608,46.11,1,1,1,1,0.16699999999999998,1,1,11,2006,1,0,0,0,0,0,0,0,0,1,399.5,263,33
116.229624,39.915004,74.05,2,1,1,1,0.5,0,0,6,1999,0,0,0,1,0,1,0,0,0,0,283.0,320,-13
116.32806200000002,40.08320300000001,124.32,3,1,1,2,0.5,0,0,7,2000,0,0,0,1,0,1,0,0,0,0,396.0,416,-5
116.700632,39.914747,99.39,2,2,1,1,0.333,1,0,10,2005,0,0,1,0,0,0,0,0,0,1,590.0,474,19
116.304497,39.895431,60.4,2,1,1,1,0.5,0,0,6,1995,0,0,0,1,0,1,0,0,0,0,455.0,428,5
116.377737,40.012518,61.66,1,0,1,1,0.154,1,1,16,2007,0,0,1,0,0,0,0,0,0,1,287.0,282,1
116.432862,39.948968,71.58,2,1,1,1,0.667,1,1,14,2003,0,0,0,1,0,0,0,0,0,1,635.0,715,-12
116.42022,40.044807,58.64,1,0,1,1,0.444,1,1,32,2008,1,0,0,0,0,0,0,0,0,1,208.0,323,-55
116.655566,39.883931,62.89,1,1,1,1,0.333,1,0,11,2005,0,0,1,0,0,0,0,0,0,1,174.0,230,-32
116.335491,39.780886,88.53,2,2,1,1,0.667,1,1,27,2010,0,0,1,0,0,0,0,0,0,1,399.5,432,-8
116.665923,40.186753,119.53,3,2,1,2,0.667,1,0,17,2013,0,0,0,1,0,0,0,0,0,1,516.0,364,29
116.166915,39.763393,40.91,1,1,1,1,0.16699999999999998,1,0,19,2013,1,0,0,0,0,0,0,0,0,1,101.0,91,9
116.333347,39.904872,77.6,3,1,1,1,0.333,0,1,6,1987,0,0,0,1,0,1,0,0,0,0,590.0,610,-3
116.119651,39.934504,90.67,2,1,1,1,0.5,0,0,6,2003,0,0,0,1,0,1,0,0,0,0,225.0,261,-16
116.487808,39.889853,61.55,2,1,1,1,0.333,0,0,6,1995,0,0,0,1,0,1,0,0,0,0,235.0,304,-29
116.292014,39.928693,59.64,2,1,1,1,0.5,0,0,6,1990,0,0,0,1,0,1,0,0,0,0,573.0,448,21
116.703234,39.911017,81.27,2,1,1,1,0.5,1,1,28,2009,1,0,0,0,0,0,0,0,0,1,509.0,420,17
116.366043,39.971121,134.44,4,1,1,2,0.211,1,0,16,1999,0,0,1,0,0,0,0,0,0,1,1220.0,1056,13
116.432684,40.077562,109.05,2,1,1,2,0.5,0,0,6,2007,0,0,0,1,0,1,0,0,0,0,420.0,378,9
116.327077,39.942373,65.79,2,1,1,1,0.5,0,1,6,2000,0,0,0,1,0,1,0,0,0,0,480.0,548,-14
116.59088,39.924096,103.0,4,2,1,2,0.5,0,0,6,1996,0,0,0,1,0,0,0,0,1,0,448.0,393,12
116.419632,40.049247,84.02,2,2,1,1,0.5,0,1,6,2001,0,0,0,1,0,1,0,0,0,0,460.0,351,23
116.400687,39.872287,37.3,1,1,1,1,0.13,1,1,15,2007,0,0,1,0,0,0,0,0,0,1,153.0,214,-40
116.336918,39.893507,56.59,1,1,1,1,0.25,0,1,6,1996,0,0,0,1,0,1,0,0,0,0,503.0,420,16
116.673001,40.138289,87.53,2,1,1,1,0.5,0,1,6,1997,0,0,0,1,0,1,0,0,0,0,223.5,283,-26
116.402983,39.859787,185.15,4,2,1,2,0.333,1,0,11,2002,0,0,1,0,0,0,0,0,0,1,655.0,632,3
116.607819,39.933556,78.12,2,1,1,1,0.1,0,1,22,2008,1,0,0,0,0,0,0,0,0,1,315.0,336,-6
116.457526,39.8764,62.41,1,1,1,1,0.125,1,1,10,2009,1,0,0,0,0,0,0,0,0,1,223.0,259,-16
116.265066,40.166068,69.18,2,1,1,1,0.5,1,0,18,2009,0,0,0,1,0,0,0,0,0,1,300.0,303,-1
116.511679,39.923959,57.52,1,1,1,1,0.333,1,1,32,2006,1,0,0,0,0,0,0,0,0,1,401.0,290,27
116.299198,39.838131,56.76,1,1,1,1,0.909,1,1,28,2005,1,0,0,0,0,0,0,0,0,1,192.0,246,-28
116.476467,39.888742,53.87,2,1,1,1,0.333,0,1,6,1992,0,0,0,1,0,1,0,0,0,0,316.0,315,0
116.2939,39.845012,54.0,2,1,1,1,0.333,0,1,6,1990,0,0,0,1,0,1,0,0,0,0,325.0,259,20
116.421842,40.119709,89.77,2,1,1,1,0.5,0,0,6,2008,0,0,0,1,0,1,0,0,0,0,252.0,318,-26
116.31531,39.865675,89.66,2,1,1,1,0.5,0,1,9,2001,0,0,1,0,0,0,0,0,0,1,342.0,435,-27
116.556567,39.952006,100.21,2,2,1,1,0.2,1,0,12,2008,1,0,0,0,0,0,0,0,0,1,373.0,367,1
116.203021,39.929599,82.05,2,1,1,1,0.16699999999999998,1,0,18,1997,1,0,0,0,0,0,0,0,0,1,440.0,327,25
116.435,39.963418,68.47,3,1,1,1,0.333,0,1,5,1980,0,0,0,1,0,1,0,0,0,0,576.0,542,5
116.484508,39.93403,58.04,2,1,1,1,0.14300000000000002,1,1,12,1993,0,0,1,0,0,0,0,0,0,1,200.0,217,-8
116.689244,39.873245,42.56,1,0,1,1,0.25,1,1,11,2005,0,0,1,0,0,0,0,0,0,1,209.0,191,8
116.525916,39.922787,81.92,2,1,1,1,0.25,1,1,18,1997,1,0,0,0,0,0,0,0,0,1,435.0,390,10
116.427315,39.995693,112.62,2,1,1,1,0.25,1,1,11,2005,0,0,0,1,0,0,0,0,0,1,690.0,677,1
116.467922,39.993105,60.86,1,1,1,1,0.136,1,0,12,1997,0,0,1,0,0,1,0,0,0,0,427.0,327,23
116.448438,39.926391,133.83,3,2,1,2,0.333,1,1,14,1997,1,0,0,0,0,0,0,0,0,1,850.0,783,7
116.54671,39.76028400000001,66.67,1,1,1,1,0.333,0,0,6,2003,0,0,0,1,0,1,0,0,0,0,147.5,210,-42
116.457526,39.8764,91.94,3,1,1,1,0.188,1,1,19,2009,1,0,0,0,0,0,0,0,0,1,518.0,407,21
116.475053,39.885225,90.41,3,1,1,1,0.5,0,1,6,1991,0,0,0,1,0,1,0,0,0,0,398.0,423,-6
116.520858,39.918846,69.58,2,1,1,1,0.2,1,1,16,1997,1,0,0,0,0,0,0,0,0,1,413.0,318,22
116.394592,39.861389,49.3,1,1,1,1,0.25,1,0,24,1992,1,0,0,0,0,0,0,0,0,1,295.0,220,25
116.390856,40.06733,93.8,2,1,1,1,0.5,0,0,6,2002,0,0,0,1,0,1,0,0,0,0,418.0,329,21
116.37785,39.842419,44.44,1,0,1,1,0.154,1,1,9,2010,1,0,0,0,0,0,0,0,0,1,218.0,153,29
116.427822,39.870559,60.9,2,1,1,1,0.333,0,1,6,1988,0,0,0,1,0,1,0,0,0,0,274.0,300,-9
116.308081,39.951777,60.7,2,1,1,1,0.333,0,1,5,1985,0,0,0,1,0,1,0,0,0,0,512.0,549,-7
116.423988,39.972523,103.12,2,1,1,1,0.3,1,1,22,2002,1,0,0,0,0,0,0,0,0,1,787.0,703,10
116.402495,39.846914,68.8,2,1,1,1,0.5,0,1,6,1998,0,0,0,1,0,1,0,0,0,0,337.0,278,17
116.422403,39.987661,64.2,2,1,1,1,0.5,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,290.0,430,-48
116.32397,39.933336,139.4,3,2,1,2,0.5,0,1,6,2001,0,0,0,1,0,0,0,0,0,1,1290.0,1401,-8
116.647356,39.896263,70.39,1,1,1,1,0.333,0,1,6,2002,0,0,0,1,0,1,0,0,0,0,300.0,295,1
116.486941,39.927022,76.44,3,0,1,1,0.25,1,1,16,1986,1,0,0,0,0,0,0,0,0,1,316.0,401,-27
116.277918,39.899149,123.62,3,2,1,2,0.25,1,0,15,2007,0,0,1,0,0,0,0,0,0,1,528.0,560,-6
116.416187,39.969551,51.27,1,1,1,1,0.1,1,1,12,1993,0,0,1,0,0,0,0,0,0,1,440.0,369,16
116.445996,40.069568,140.62,3,1,1,2,0.25,1,0,18,2001,1,0,0,0,0,1,0,0,0,0,336.0,389,-15
116.386555,40.0865,86.76,2,1,1,1,0.333,1,0,10,2009,0,0,0,1,0,0,0,0,0,1,445.0,420,5
116.339906,39.781801,69.73,2,1,1,1,0.5,0,1,6,1998,0,0,0,1,0,1,0,0,0,0,337.0,287,14
116.472064,39.88768,65.22,2,1,1,1,0.2,1,1,24,1996,1,0,0,0,0,0,0,0,0,1,422.0,307,27
116.250886,40.225155,87.87,2,1,1,1,0.235,1,1,19,2003,1,0,0,0,0,0,0,0,0,1,315.5,342,-8
116.521988,39.927428000000006,72.16,2,1,1,1,0.16699999999999998,1,1,20,2006,1,0,0,0,0,0,0,0,0,1,615.0,426,30
116.363217,40.082639,101.34,2,1,1,1,0.5,0,1,6,2007,0,0,0,1,0,0,0,0,0,1,245.0,342,-39
116.60292,39.909042,89.99,3,2,1,1,0.5,1,0,9,2011,0,0,0,1,0,0,0,0,0,1,384.0,480,-25
116.475053,39.885225,42.99,1,1,1,1,0.28600000000000003,1,1,16,1983,1,0,0,0,0,0,0,0,0,1,295.0,250,15
116.279545,40.144739,74.9,2,1,1,1,0.5,0,0,6,1998,0,0,0,1,0,1,0,0,0,0,140.0,247,-76
116.419299,39.99709,43.9,1,1,1,1,0.5,0,1,6,1989,0,0,0,1,0,1,0,0,0,0,191.0,286,-49
116.460032,39.879667,56.2,2,1,1,1,0.5,0,1,6,1984,0,0,0,1,0,0,0,1,0,0,320.0,259,18
116.490411,39.798212,59.0,2,1,1,1,0.333,0,0,6,2002,0,0,0,1,0,1,0,0,0,0,263.0,224,14
116.35353899999998,39.979585,119.4,3,2,1,2,0.3,1,1,27,1999,1,0,0,0,0,0,0,0,0,1,837.0,909,-8
116.481632,39.927935,60.88,2,1,1,1,0.16699999999999998,1,1,16,1988,0,0,0,1,0,0,0,0,0,1,380.0,355,6
116.34408700000002,40.068333,82.19,3,1,1,1,0.5,0,1,6,1995,0,0,0,1,0,1,0,0,0,0,298.0,355,-19
116.557273,39.918665,49.83,1,1,1,1,0.16699999999999998,1,1,18,1999,1,0,0,0,0,0,0,0,0,1,138.0,202,-46
116.637113,39.910123,66.46,1,1,1,1,0.333,0,1,6,1999,0,0,0,1,0,1,0,0,0,0,190.5,282,-48
116.356742,39.916768,54.2,2,1,1,1,0.333,0,1,6,1985,0,0,0,1,0,0,0,1,0,0,620.0,496,19
116.508181,39.807662,53.06,2,1,1,1,0.2,1,1,23,2008,1,0,0,0,0,0,0,0,0,1,200.0,194,2
116.368564,40.080471,93.0,2,1,1,1,0.5,1,1,11,2012,0,0,0,1,0,0,0,0,0,1,553.0,509,7
116.372605,39.949564,63.07,2,1,1,1,0.25,0,1,6,2003,0,0,0,1,0,1,0,0,0,0,655.0,573,12
116.489254,40.006445,63.29,1,0,1,1,0.5,1,1,25,2006,0,0,1,0,0,0,0,0,0,1,422.0,457,-8
116.420136,39.989832,58.21,2,1,1,1,0.5,0,1,6,1990,0,0,0,1,0,1,0,0,0,0,438.0,367,16
116.38197,39.960725,48.5,2,1,1,1,0.333,0,1,5,1976,0,0,0,1,0,0,0,1,0,0,635.0,532,16
116.247008,39.906426,96.5,2,1,1,1,0.5,1,0,15,2007,0,0,1,0,0,0,0,0,0,1,425.0,538,-26
116.521988,39.927428000000006,55.93,1,1,1,1,0.16699999999999998,1,1,20,2006,1,0,0,0,0,0,0,0,0,1,419.0,327,21
116.664848,39.94292700000001,73.83,2,1,1,1,0.5,0,0,6,1997,0,0,0,1,0,1,0,0,0,0,349.0,280,19
116.419299,39.99709,44.47,1,1,1,1,0.28600000000000003,1,0,20,1989,1,0,0,0,0,0,0,0,0,1,262.0,295,-12
116.386269,39.888411,44.78,1,1,1,1,0.5,0,1,6,1996,0,0,0,1,0,1,0,0,0,0,633.0,412,34
116.412985,40.062212,56.57,1,1,1,1,0.5,1,1,20,2008,0,0,1,0,0,0,0,0,0,1,249.0,313,-26
116.334045,39.757413,127.69,3,1,1,2,0.5,0,1,6,1994,0,0,0,1,0,1,0,0,0,0,272.0,291,-7
116.369191,39.955198,96.0,3,1,1,1,0.5,0,1,6,1998,0,0,0,1,0,1,0,0,0,0,714.0,875,-22
116.363711,39.971482,53.4,2,1,1,1,0.333,0,0,4,1977,0,0,0,1,0,1,0,0,0,0,350.0,473,-35
116.309363,39.893795,72.8,3,1,1,1,0.25,1,1,20,1988,1,0,0,0,0,0,0,0,0,1,509.0,384,24
116.371677,40.002169,59.85,2,1,1,1,0.5,0,0,6,1993,0,0,0,1,0,1,0,0,0,0,505.0,414,17
116.255335,39.897245,67.22,1,1,1,1,0.25,1,0,20,2000,1,0,0,0,0,0,0,0,0,1,392.0,324,17
116.703713,39.95821,104.85,3,1,1,1,0.5,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,315.0,295,6
116.335787,39.90730900000001,50.3,2,1,1,1,0.25,0,1,6,1985,0,0,0,1,0,1,0,0,0,0,396.0,383,3
